state_abbreviation,state,status,date_details,restriction_start,restriction_end,status_details,external_link,opened_food_and_drink,opened_personal_care,closed_entertainment,opened_entertainment,opened_retail,opened_outdoor_and_recreation,opened_industries,closed_food_and_drink,opened_houses_of_worship,closed_outdoor_and_recreation,population
SC,South Carolina,pausing,Stay-at-home order expired on May 4.,,2020-05-04,"Gov. Henry McMaster, a Republican, was among the last to issue a stay-at-home order and among the first to begin opening up his state, starting April 20. The reopening began with retail stores and continued in the following weeks with restaurants, gyms and pools. Tourist attractions reopened in time for Memorial Day weekend. But with cases rising, Mr. McMaster said he wouldn’t allow movie theaters, concerts, race tracks or nightclubs to open.",https://www.live5news.com/2020/05/22/tourist-attractions-across-south-carolina-can-now-begin-reopening/,Restaurant dining,"Salons, barbershops, tattoo parlors, etc.",,"Museums, zoos, aquariums",Retail stores,"Beaches, piers, docks, etc.; Gyms; Pools",,,True,,5148714
SD,South Dakota,reopened,Did not have a statewide stay-at-home order.,,,"Gov. Kristi Noem, a Republican, refused to issue a stay-at-home order — despite requests from local officials — and did not close businesses in the state, though she ordered them to follow C.D.C. guidelines. She invited workers and business owners frustrated by lockdowns in other states to visit South Dakota.",https://www.usnews.com/news/best-states/south-dakota/articles/2020-04-28/south-dakota-governor-to-unveil-plan-to-reopen-state,Restaurant dining,"Salons, barbershops",,,Retail stores,Gyms,,,True,,884659
TN,Tennessee,reopening,Stay-at-home order expired on April 30.,,2020-04-30,"Gov. Bill Lee, a Republican, announced reopening plans for 89 of 95 Tennessee counties starting April 27. The remaining counties were to follow individual reopening plans. All counties are now in some phase of reopening, and restaurants and retail stores can operate in most counties with no restrictions.",https://www.wsmv.com/news/tennessee-releases-new-guidelines-for-reopening-restaurants-retail-and-large-attractions/article_0f74cd22-9ad3-11ea-9f03-e3784e1e4029.html,Restaurant dining,"Salons, barbershops, etc.",,"Theaters, museums, amusement parks",Retail stores,State parks; Gyms,,,True,,6829174
TX,Texas,reversing,Stay-at-home order expired on April 30.,,2020-04-30,"Gov. Greg Abbott allowed his stay-at-home order to lapse on April 30, a move that gave Texas, the nation’s second-largest state, one of the shortest such orders in the country. A surge in cases in late June caused Mr. Abbott to order bars to close and restaurants to reduce capacity, among the first reopening reversals in the country. Starting July 3, he once again encouraged Texans to stay home and required face covering in public places in counties with more than 20 positive cases.",https://www.texastribune.org/2020/06/26/texas-bars-restaurants-coronavirus-greg-abbott/,Restaurant dining,"Salons, barbershops, etc.; Massage services",,"Movie theaters, museums, libraries; Bowling alleys, bingo halls, skating rinks, rodeos; Aquariums; Amusement parks; Carnivals","Retail stores, malls",State parks; Pools; Gyms; Water parks; Zoos,"Offices, manufacturing",Bars,True,,28995881
UT,Utah,reopened,Did not have a statewide stay-at-home order.,,,"Gov. Gary R. Herbert, a Republican, started to reopen Utah by region on May 1. Now, just one county remains at “moderate risk,” and restaurants, gyms and salons are open everywhere.",https://www.sltrib.com/news/2020/04/28/utah-will-begin-easing/,Restaurant dining,"Salons, personal care businesses",,"Movie theatres, museums, libraries, concerts",Retail stores,Gyms; Pools,,,True,,3205958
VA,Virginia,reopened,Stay-at-home order expired on June 10.,,2020-06-10,"Gov. Ralph Northam, a Democrat, started reopening much of the state on May 15, but kept northern Virginia, near Washington, D.C., closed until May 28. All counties moved into Phase 3 on July 1. Mr. Northam lifted capacity limits on retail stores, restaurants and bars, but kept some restrictions on indoor seating in place.",https://www.whsv.com/content/news/Heres-what-Phase-3-of-re-opening-will-look-like-in-Virginia-571374801.html,Restaurants and bars,"Salons, barbershops, etc.",,"Museums, zoos, aquariums, outdoor concerts",Retail stores,Campgrounds; Beaches; Gyms; Pools,,,True,,8535519
VT,Vermont,reopening,Stay-at-home order expired on May 15.,,2020-05-15,"Gov. Phil Scott, a Republican, allowed small changes, such as the opening of farmers’ markets, before a broader reopening beginning with retail stores on May 18. Other businesses, such as gyms and restaurants, reopened in June.",https://www.necn.com/news/local/vt-gov-to-provide-coronavirus-update-4/2275477/,Restaurant dining,"Hair salons and barbershops; Nail salons, spas, tattoo parlors",,"Museums, theaters, libraries",Retail stores,"State parks, golf courses, trails, etc.; Campgrounds; Gyms, fitness centers","Manufacturing, construction, distribution",,True,,623989
WA,Washington,pausing,Stay-at-home order expired on May 31.,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,Restaurant dining in most counties,"Hair salons, barbershops, tattoo parlors, etc. in most counties; Pet grooming in most counties; Gyms in most counties; Hair salons, barbershops, tattoo parlors, etc.; Pet grooming",,Casinos,Retail stores in most counties; Retail stores,"State parks, fishing, hunting, golf courses",Construction,,Religious services in most counties,,7614893
WI,Wisconsin,reopened,Stay-at-home order struck down on May 13.,,,"The state Supreme Court struck down Gov. Tony Evers's stay-at-home order on May 13, effectively lifting statewide restrictions on businesses in Wisconsin. Mr. Evers, a Democrat in a highly contested battleground state, had already announced plans for a gradual reopening but warned the ruling would cause “chaos.” Some counties have since placed their own restrictions on businesses.",https://www.jsonline.com/story/news/2020/05/14/wisconsin-bars-hair-salons-dine-restaurants-open-after-supreme-court-ruling-stay-home-order-evers/5194195002/,Restaurants and bars,"Pet groomers for curbside dropoff; Hair salons, spas, barbershops",,,Retail stores,Golf courses; State parks; Gyms,,,True,,5822434
WV,West Virginia,reopened,Stay-at-home order expired on May 3.,,2020-05-03,"West Virginia’s stay-at-home order was in place for a little more than a month. Gov. Jim Justice, a Republican, lifted restrictions on certain businesses on May 4, with new reopenings each following week. Houses of worship were among the first allowed to reopen, and West Virginia has since registered five coronavirus outbreaks at churches. Starting July 7, face coverings will be required where social distance can’t be mantained.  ",https://pittsburgh.cbslocal.com/2020/05/21/west-virginia-governor-expands-reopenings-as-hotspots-emerge/,Restaurant dining; Bars,"Salons, barbershops, pet groomers; Tanning salons; Massage parlors and spas",,"Museums, zoos; Bowling alleys, pool halls, roller rinks; Casinos; Movie theaters; Amusement parks, fairs, festivals",Retail stores; Malls,"Gyms, recreation centers; State parks, campgrounds; Pools",,,True,,1792147
WY,Wyoming,pausing,Did not have a statewide stay-at-home order.,,,"Gov. Mark Gordon, a Republican, did not order Wyoming residents to stay home, and he began lifting restrictions on businesses May 1. However, Mr. Gordon recently extended restrictions on restaurants, bars and gyms until at least July 15. ",https://trib.com/news/state-and-regional/health/more-wyoming-counties-receive-approval-to-further-reopen-communities/article_6de085b7-fe9b-5ebe-8b23-76f8512a0c74.html,Restaurant dining,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",,"Movie theaters, entertaiment venues",Retail stores,Gyms; State parks,,,True,,578759
